Stations_ID;Datum;Qualitaet;Min_5cm;Min_2m;Mittel_2m;Max_2m;Relative_Feuchte;Mittel_Windstaerke;Max_Windgeschwindigkeit;Sonnenscheindauer;Mittel_Bedeckungsgrad;Niederschlagshoehe;Mittel_Luftdruck
102.00;14.10.2016;3.00;;6,8;8,5;10,4;77,5;12,9;17,7;2233.00;;;1009,93
102.00;15.10.2016;3.00;;7,8;9,9;12,6;89,26;9,6;18,1;0,117;;;1008,1
102.00;16.10.2016;3.00;;8,7;11,5;15,2;95,25;6,7;12,4;5,75;;;1017,06
102.00;17.10.2016;3.00;;10,6;12,4;14,4;90,25;6,9;12,4;1,6;;;1016,46
102.00;18.10.2016;3.00;;7,8;11.00;12,9;89,83;8,3;17,8;1833.00;;;1012,56
102.00;19.10.2016;3.00;;7,8;9.00;10,4;85,5;4,1;10,9;3,15;;;1008,93
102.00;20.10.2016;3.00;;9,1;9,7;10,9;81,54;6,1;12,4;1517.00;;;1010,18
102.00;21.10.2016;3.00;;8,5;9,7;10,5;84,25;8,3;13,1;0.00;;;1009,95
102.00;22.10.2016;3.00;;6,8;8,6;9,8;82,83;6,3;10,7;0,3;;;1010,76
102.00;23.10.2016;3.00;;7.00;8,2;9,8;82,5;5,7;9,7;0.00;;;1010,57
102.00;24.10.2016;3.00;;6,8;8,1;9,8;89,13;8,3;12,1;1217.00;;;1013,28
102.00;25.10.2016;3.00;;8,6;9.00;9,5;82,5;4,6;8,9;8,35;;;1019,74
102.00;26.10.2016;3.00;;5,7;8,3;11,1;90,13;6,2;14.00;2017.00;;;1023,69
102.00;27.10.2016;3.00;;10,9;12,2;13,5;91,79;10,4;15,9;3867.00;;;1023,37
102.00;28.10.2016;;;;12,9;;80,63;12,1;;;;;1023,39
102.00;29.10.2016;3.00;;12,1;12,5;12,9;64,65;10,4;15,2;3,25;;;1027,37
102.00;30.10.2016;3.00;;10,4;11,9;12,7;86,21;4,7;11,3;0,3;;;1026,11
102.00;31.10.2016;3.00;;11,5;12,1;13,4;94,29;5,9;9,3;0.00;;;1023,4
102.00;01.11.2016;3.00;;9,1;11,2;13,5;79,08;10,5;19,9;0,117;;;1013,91
102.00;02.11.2016;3.00;;5,7;9,1;11,1;68,46;11,9;25,4;1983.00;;;1009,67
102.00;03.11.2016;3.00;;6.00;7,7;9.00;81,46;6,6;14,3;3383.00;;;1014,26
102.00;04.11.2016;3.00;;7,3;8,3;9,3;82,29;12,1;17,8;1,25;;;1005,06
102.00;05.11.2016;3.00;;5,5;7,3;9,5;84,25;9,3;14,4;1433.00;;;993,95
102.00;06.11.2016;3.00;;4,9;6,7;8,7;90,29;10,1;17,4;0,733;;;992,39
102.00;07.11.2016;3.00;;2,8;4.00;5,5;75,38;10,7;16,8;1,25;;;1004,58
102.00;08.11.2016;3.00;;0,9;2,2;3,4;71,83;6,9;11,6;3767.00;;;1005,77
102.00;09.11.2016;3.00;;0,4;1,3;2,9;84,25;6,5;9,9;5533.00;;;1001,28
102.00;10.11.2016;3.00;;1,7;2,5;3,2;89,67;5,4;11,9;0.00;;;1003,07
102.00;11.11.2016;3.00;;2,5;4,3;5,7;82,88;6,9;11,6;6717.00;;;1016,46
102.00;12.11.2016;3.00;;-0,5;1,7;4,5;86,21;8,3;15,1;2717.00;;;1021,43
102.00;13.11.2016;3.00;;0,7;1,9;3,3;79,33;9,7;14,6;3167.00;;;1023,49
102.00;14.11.2016;3.00;;0,9;2,8;5,1;85,08;10,7;17,7;0,317;;;1024,8
102.00;15.11.2016;3.00;;4,6;8,7;11,7;95,38;10,2;16,9;0.00;;;1015,47
102.00;16.11.2016;3.00;;6.00;9,1;11,3;93,29;10,4;19.00;2233.00;;;1006,55
102.00;17.11.2016;3.00;;6,4;8,2;10,5;85,63;11,3;23.00;3,5;;;995,32
102.00;18.11.2016;3.00;;4,6;7.00;8,2;82,25;14,1;20,1;3283.00;;;988,97
102.00;19.11.2016;3.00;;4,3;5,4;6,7;84,83;12,4;17,8;2567.00;;;998,36
102.00;20.11.2016;3.00;;4,8;7,5;12,1;77,96;16,3;29,8;0.00;;;991,29
102.00;21.11.2016;3.00;;7,9;10,2;13,4;81,46;9,6;15,9;0.00;;;996,87
102.00;22.11.2016;3.00;;9,7;10,7;12,2;77.00;9,6;14,3;1,1;;;1004,3
102.00;23.11.2016;3.00;;8,6;9,9;10,8;85,96;4,4;10,2;1683.00;;;1015,49
102.00;24.11.2016;3.00;;6,2;6,9;8,6;79,63;7,4;12,1;6,55;;;1022,68
102.00;25.11.2016;3.00;;2,4;4,8;7,2;96,25;3,6;8,6;2167.00;;;1022,08
102.00;26.11.2016;3.00;;1,9;5,3;10,2;95,91;7,3;17,1;0,233;;;1014,95
102.00;27.11.2016;3.00;;5,7;7,7;9,9;63,58;9,9;19,1;7183.00;;;1016,3
102.00;28.11.2016;3.00;;2,7;3,8;5,9;61,96;6,5;14,7;7483.00;;;1028,17
102.00;29.11.2016;3.00;;1,6;2,5;3,7;79.00;9.00;16,8;7.00;;;1028,88
102.00;30.11.2016;3.00;;2,8;6,7;9,7;85,25;14.00;20,2;0.00;;;1021,08
102.00;01.12.2016;3.00;;8,5;9,6;10,7;83,29;15,7;25,8;0,15;;;1014,37
102.00;02.12.2016;3.00;;6,5;7,7;9,7;65,67;8,5;21,1;4933.00;;;1017,08
102.00;03.12.2016;3.00;;4,6;5,9;7,7;77,17;2,7;7,5;7083.00;;;1022,17
102.00;04.12.2016;3.00;;2,4;4,1;5,8;80,33;4,1;6,7;2983.00;;;1025,38
102.00;05.12.2016;3.00;;1,6;4.00;6,3;73,92;4,2;8,5;7,35;;;1023,36
102.00;06.12.2016;3.00;;1,9;4,2;5,6;76,61;5,8;11,9;5,35;;;1026,6
102.00;07.12.2016;3.00;;1,7;4,8;7,7;86,04;11,3;17,9;0.00;;;1022,16
102.00;08.12.2016;3.00;;7.00;7,8;8,7;85,63;12.00;19.00;0.00;;;1018,57
102.00;09.12.2016;3.00;;5,7;8,3;10,3;99,17;11.00;18,3;0.00;;;1018,43
102.00;10.12.2016;3.00;;7,7;8,8;10,5;96,46;11,2;17,9;0.00;;;1014,11
102.00;11.12.2016;3.00;;7,1;8,5;9,5;90,63;10,9;18,1;1,05;;;1009,76
102.00;12.12.2016;3.00;;5,2;6,7;9,6;91,88;6,6;15,2;0.00;;;1019,37
102.00;13.12.2016;3.00;;5,6;6,2;6,9;97,87;6,1;10,4;0.00;;;1018,63
102.00;14.12.2016;3.00;;5,8;6,4;7.00;99,38;5,1;10,1;0.00;;;1020,39
102.00;15.12.2016;3.00;;2,5;4,9;6,9;97,33;9.00;12,7;0.00;;;1023,65
102.00;16.12.2016;3.00;;1.00;2,5;3,6;93,58;6,6;12,7;0.00;;;1026,1
102.00;17.12.2016;3.00;;3,4;5.00;7.00;95,58;5,7;13.00;0.00;;;1030,7
102.00;18.12.2016;3.00;;6,6;7,8;8,6;92,67;6.00;14.00;0,067;;;1028,73
102.00;19.12.2016;3.00;;3,3;5,6;6,6;89,21;4,2;9,6;0.00;;;1026,55
102.00;20.12.2016;3.00;;-0,1;1,8;3,9;90,29;7,5;14,8;0.00;;;1021,63
102.00;21.12.2016;3.00;;-0,1;3,6;6,8;89,88;12.00;18,2;0,583;;;1017,56
102.00;22.12.2016;3.00;;5,1;5,8;7,1;95,25;11,2;17.00;0.00;;;1020,56
102.00;23.12.2016;3.00;;4,8;6.00;7,5;91,46;13,3;24,3;0,367;;;1021.00
102.00;24.12.2016;3.00;;5,5;7,2;8,8;84,83;16,8;25,8;0,15;;;1012,02
102.00;25.12.2016;3.00;;6,4;8,8;10,5;92,38;16,5;22,1;0.00;;;1011,14
102.00;26.12.2016;3.00;;2,5;7,8;10,6;78,96;19,3;35,7;3567.00;;;1013,81
102.00;27.12.2016;3.00;;7,6;8,2;8,7;80,63;15,8;26,9;1,2;;;1029,22
102.00;28.12.2016;3.00;;5,1;7.00;7,8;79,79;7,4;13,1;0.00;;;1037,7
102.00;29.12.2016;3.00;;0,4;2,6;5,2;89,25;7,3;10,3;3333.00;;;1035,41
102.00;30.12.2016;3.00;;-0,6;1,6;3,2;93,67;9,3;13,6;1,25;;;1029,95
102.00;31.12.2016;3.00;;2,9;4,2;5,7;99,96;11,6;16,5;0.00;;;1022,4
102.00;01.01.2017;3.00;;2,9;4,5;7,1;96,21;11,7;17,2;0.00;;;1010,84
102.00;02.01.2017;3.00;;3,6;5,6;7,2;72,71;9,8;21,2;1683.00;;;1013,65
102.00;03.01.2017;3.00;;5,6;6,8;8,3;87,29;15,8;27,2;0.00;;;1009,12
102.00;04.01.2017;3.00;;2,2;5,4;7,3;65,67;17,2;32,8;1717.00;;;1004,1
102.00;05.01.2017;3.00;;-3,4;-0,7;2,4;63,21;8,3;14,4;3,6;;;1027,97
102.00;06.01.2017;3.00;;-4,1;-3,3;-2,1;65,88;7.00;14.00;6,4;;;1035,34
102.00;07.01.2017;3.00;;-2,3;1,5;6,9;90,17;11,4;16,5;0.00;;;1023,18
102.00;08.01.2017;3.00;;2,3;3,2;5,2;83,21;4,8;12,6;0.00;;;1025,52
102.00;09.01.2017;3.00;;2,3;2,9;3,7;94,46;8,8;15.00;0,117;;;1016,45
102.00;10.01.2017;3.00;;2,9;3,7;4,7;96,5;9,8;15,9;0,1;;;1003,31
102.00;11.01.2017;3.00;;4,2;5,9;7,9;83,75;16.00;29,2;1467.00;;;994,26
102.00;12.01.2017;3.00;;2,7;4,8;6,4;80,88;14.00;28,4;1583.00;;;994,24
102.00;13.01.2017;3.00;;0,6;3,5;6,2;81,83;11,5;26,4;3383.00;;;987,34
102.00;14.01.2017;3.00;;1,2;3,8;5,6;73,75;15,3;27,5;2533.00;;;1000,34
102.00;15.01.2017;3.00;;1,7;3,2;4,5;66,75;7.00;18,5;4817.00;;;1013,33
102.00;16.01.2017;3.00;;0,2;1,2;2.00;72,25;4,4;7.00;7767.00;;;1024,46
102.00;17.01.2017;3.00;;-0,7;1,5;2,5;77,58;3,8;6,2;2117.00;;;1033,27
102.00;18.01.2017;3.00;;-2,7;-0,9;0,1;85,88;6,1;8,6;0.00;;;1035,27
102.00;19.01.2017;3.00;;-0,3;1,3;2,4;75,96;6,3;8,6;0,3;;;1033,64
102.00;20.01.2017;3.00;;1,4;3,1;5,1;95,46;4,7;7,5;0.00;;;1031,58
102.00;21.01.2017;3.00;;2,5;3,8;5,4;91,29;3,3;8.00;0.00;;;1028,07
102.00;22.01.2017;3.00;;-1,2;0,4;3,5;91,13;4,2;8,7;0.00;;;1023,92
102.00;23.01.2017;3.00;;0.00;1,3;2,9;93,46;6.00;10,2;2017.00;;;1021,35
102.00;24.01.2017;3.00;;-1,5;0,1;0,9;99,88;4,2;8,3;0.00;;;1024,49
102.00;25.01.2017;3.00;;-1,9;-1.00;0,3;95.00;4,8;9,7;0.00;;;1027,83
102.00;26.01.2017;3.00;;-2.00;0.00;2.00;88,65;8,1;11,9;4,2;;;1023,6
102.00;27.01.2017;3.00;;-1,4;0,8;2,7;78,04;8,4;14.00;6,2;;;1015,68
102.00;28.01.2017;3.00;;1,7;2,9;5,3;73,71;7,4;12,7;6,3;;;1012,62
102.00;29.01.2017;3.00;;3,1;4.00;5,1;93,67;8,9;13,9;0,033;;;1011,5
102.00;30.01.2017;3.00;;1,2;2,4;3,6;94,54;8,8;14,8;0.00;;;1007,71
102.00;31.01.2017;3.00;;1,4;2,6;3,4;91,75;6,2;13,9;0.00;;;1013,15
102.00;01.02.2017;3.00;;0,2;1,4;2,3;90,79;10,1;14,7;0.00;;;1012,77
102.00;02.02.2017;3.00;;1,7;3,7;7.00;92,46;10,2;14,4;3,75;;;1003,86
102.00;03.02.2017;3.00;;2,3;3,6;5,8;99,46;7,2;11,5;0.00;;;999,17
102.00;04.02.2017;3.00;;3,1;5,3;9,7;89,33;6,6;11,7;3867.00;;;997,01
102.00;05.02.2017;3.00;;2,1;2,8;3,6;99,38;6,4;10,1;0.00;;;1000,7
102.00;06.02.2017;3.00;;1,3;2,5;3,5;86,48;8,9;15,1;0.00;;;1015,18
102.00;07.02.2017;3.00;;-1.00;0,5;1,3;75,38;12.00;16,9;1,05;;;1018,73
102.00;08.02.2017;3.00;;-2,9;-1,6;-0,8;69,21;9,7;16,8;0.00;;;1024,83
102.00;09.02.2017;3.00;;-4,6;-3,2;-1,6;77,75;8,9;14,1;0.00;;;1028.00
102.00;10.02.2017;3.00;;-4,1;-2,5;-1,1;80,46;11,2;14,9;0.00;;;1023,2
102.00;11.02.2017;3.00;;-2.00;-1,4;-0,7;81,58;11,9;18,4;0.00;;;1022,08
102.00;12.02.2017;3.00;;-1,2;-0,5;0,7;79,58;12,3;16,2;0.00;;;1027,92
102.00;13.02.2017;3.00;;-2,6;-0,5;2,8;79,29;10,4;14,1;8817.00;;;1031,32
102.00;14.02.2017;3.00;;-2,7;0,5;5,1;74,71;8,7;13,4;9167.00;;;1028,98
102.00;15.02.2017;3.00;;0,3;4,5;9,7;70,5;6,2;11.00;8967.00;;;1027,43
102.00;16.02.2017;3.00;;3,9;5,4;7,2;93,71;10,2;13,8;0.00;;;1021,33
102.00;17.02.2017;3.00;;3,9;4,9;5,7;97,58;9,6;15,5;0,033;;;1017,1
102.00;18.02.2017;3.00;;2,3;3,8;5,1;94,5;7,5;12,9;0.00;;;1020,52
102.00;19.02.2017;3.00;;3,8;4,7;5,6;95,5;10,3;14,3;1333.00;;;1012,68
102.00;20.02.2017;3.00;;5,1;6,4;7,9;99,08;14,3;23,8;0.00;;;1005,07
102.00;21.02.2017;3.00;;4,4;5,4;7.00;94,04;11,4;18,1;7917.00;;;1004,47
102.00;22.02.2017;3.00;;5,2;6,3;8,6;90,13;17,3;27,2;1,9;;;993,45
102.00;23.02.2017;3.00;;2,8;5,3;8,8;91,71;13.00;28,8;0,433;;;984,6
102.00;24.02.2017;3.00;;2,4;3,9;4,5;78,29;11,7;23.00;9267.00;;;1001,98
102.00;25.02.2017;3.00;;2,1;3,8;5,9;90,17;11,7;20,8;0.00;;;1008,95
102.00;26.02.2017;3.00;;5,5;6,9;9.00;97,21;12,5;17,1;0.00;;;1001,24
102.00;27.02.2017;3.00;;5,9;8,6;10,3;81,5;12,1;20.00;0.00;;;991,38
102.00;28.02.2017;3.00;;2,9;4,8;6,5;80,79;12,6;20,9;3067.00;;;982,27
102.00;01.03.2017;3.00;;2,1;4,2;6,2;88,54;9,7;16,1;5167.00;;;991,26
102.00;02.03.2017;3.00;;4,3;4,9;5,7;91,25;10,5;16,4;4117.00;;;996,68
102.00;03.03.2017;3.00;;3.00;5,6;8,3;82,08;8,8;15.00;5317.00;;;1001,98
102.00;04.03.2017;3.00;;5,2;8,8;13,4;74,67;7,5;10,4;0,383;;;989,89
102.00;05.03.2017;3.00;;4,3;7,2;10,9;78,83;8,3;19,8;2,7;;;991,67
102.00;06.03.2017;3.00;;2,9;4,7;7,3;91,54;8.00;13.00;0.00;;;997,67
102.00;07.03.2017;3.00;;1,8;2,7;3,6;79,79;5,1;10.00;0.00;;;1010,19
102.00;08.03.2017;3.00;;2,9;4,4;6,1;92,21;9,3;14,6;0.00;;;1008,92
102.00;09.03.2017;3.00;;3,2;5,2;8.00;97.00;10,2;19,5;0,65;;;1010,28
102.00;10.03.2017;3.00;;5.00;5,4;5,9;92,83;8,5;15,2;7167.00;;;1020,96
